"city","datetime","temp","temp_min","temp_max","weather_description","humidity","wind_speed"
"Paris",1691312400,14.54,14.54,14.54,"overcast clouds",77,5.24
"Paris",1691323200,19.15,19.15,19.15,"light rain",45,6.4
"Paris",1691334000,20.14,20.14,20.14,"scattered clouds",42,6.8
"Paris",1691344800,18.09,18.09,18.09,"scattered clouds",54,4.51
"Paris",1691355600,15.33,15.33,15.33,"few clouds",71,3.36
"Paris",1691366400,14.02,14.02,14.02,"few clouds",78,3.13
"Paris",1691377200,12.95,12.95,12.95,"clear sky",82,2.26
"Paris",1691388000,13.77,13.77,13.77,"clear sky",78,1.77
"Paris",1691398800,18.96,18.96,18.96,"clear sky",51,2.1
"Paris",1691409600,22.51,22.51,22.51,"few clouds",40,2.41
"Paris",1691420400,23.87,23.87,23.87,"broken clouds",34,2.57
"Paris",1691431200,22.56,22.56,22.56,"broken clouds",41,1.66
"Paris",1691442000,19.16,19.16,19.16,"overcast clouds",54,0.78
"Paris",1691452800,17.76,17.76,17.76,"overcast clouds",57,2.11
"Suzhou",1691031600,30.17,30.17,32.82,"few clouds",73,5.41
"Suzhou",1691042400,31.89,31.89,33.41,"scattered clouds",66,5.8
"Suzhou",1691053200,31.33,31.33,31.33,"scattered clouds",69,5.53
"Suzhou",1691064000,27.85,27.85,27.85,"few clouds",83,4.29
"Suzhou",1691074800,26.7,26.7,26.7,"few clouds",91,2.98
"Suzhou",1691085600,25.94,25.94,25.94,"few clouds",95,2.61
"Suzhou",1691096400,25.48,25.48,25.48,"scattered clouds",96,2.73
"Suzhou",1691107200,29.07,29.07,29.07,"scattered clouds",77,4.43
"Suzhou",1691118000,32.52,32.52,32.52,"light rain",61,4.94
"Suzhou",1691128800,33.74,33.74,33.74,"light rain",57,5.87
"Suzhou",1691139600,31.64,31.64,31.64,"broken clouds",65,4.98
"Suzhou",1691150400,27.82,27.82,27.82,"scattered clouds",83,3.64
"Suzhou",1691161200,26.49,26.49,26.49,"overcast clouds",92,2.87
"Suzhou",1691172000,25.86,25.86,25.86,"overcast clouds",95,2.87
"Suzhou",1691182800,25.56,25.56,25.56,"broken clouds",96,2.92
"Suzhou",1691193600,29.02,29.02,29.02,"broken clouds",79,3.92
"Suzhou",1691204400,31.78,31.78,31.78,"light rain",68,4.26
"Suzhou",1691215200,32.99,32.99,32.99,"light rain",63,4.65
"Suzhou",1691226000,31.57,31.57,31.57,"light rain",66,4.55
"Suzhou",1691236800,27.79,27.79,27.79,"scattered clouds",80,3.39
"Suzhou",1691247600,26.36,26.36,26.36,"few clouds",87,1.97
"Suzhou",1691258400,25.73,25.73,25.73,"few clouds",89,1.12
"Suzhou",1691269200,25.18,25.18,25.18,"clear sky",91,1.65
"Suzhou",1691280000,28.89,28.89,28.89,"clear sky",73,2.57
"Suzhou",1691290800,32.74,32.74,32.74,"clear sky",57,3.42
"Suzhou",1691301600,34.24,34.24,34.24,"clear sky",52,4.12
"Suzhou",1691312400,32.56,32.56,32.56,"clear sky",60,4.06
